age;job;marital;education;housing;loan;contact;month;day_of_week;campaign;previous;poutcome;cons,price,idx;cons,conf,idx;y
30;1;1;2;1;0;0;2;5;2;0;1;92,893;-46,2;0
39;7;2;3;0;0;1;2;5;4;0;1;93,994;-36,4;0
25;7;1;3;1;0;1;3;3;1;0;1;94,465;-41,8;0
47;0;1;6;1;0;0;8;1;1;0;1;93,2;-42;0
32;7;2;6;0;0;0;6;4;3;2;0;94,199;-37,5;0
32;0;2;6;1;0;0;6;1;4;0;1;94,199;-37,5;0
41;2;1;6;1;0;0;8;1;2;0;1;93,2;-42;0
31;7;0;5;0;0;0;8;2;1;1;0;93,2;-42;0
35;1;1;2;0;0;1;2;4;1;0;1;93,994;-36,4;0
25;7;2;1;1;0;0;4;4;1;0;1;93,918;-42,7;0
36;6;2;0;0;0;0;4;4;1;0;1;93,918;-42,7;0
36;0;1;3;0;0;1;2;3;2;0;1;93,994;-36,4;0
47;1;1;0;1;0;1;3;4;2;0;1;94,465;-41,8;0
29;0;2;3;0;0;0;2;5;2;0;1;92,893;-46,2;0
27;7;2;6;0;0;0;4;3;2;0;1;93,918;-42,7;0
44;0;0;6;0;0;0;4;3;6;0;1;93,918;-42,7;0
46;0;0;6;1;0;1;4;1;4;0;1;93,918;-42,7;0
45;2;1;6;1;1;0;5;1;2;0;1;93,444;-36,1;0
50;1;1;0;0;1;0;4;2;1;0;1;93,918;-42,7;1
55;7;1;1;1;0;0;4;2;6;0;1;93,918;-42,7;0
39;9;0;3;0;0;0;0;1;1;2;2;93,369;-34,8;1
29;9;2;6;1;1;0;5;3;3;0;1;93,444;-36,1;0
40;4;1;3;0;1;0;5;3;1;0;1;93,444;-36,1;0
44;9;1;5;1;0;1;2;5;7;0;1;93,994;-36,4;0
38;9;1;5;1;0;0;5;1;1;0;1;93,444;-36,1;1
36;9;0;5;0;0;1;2;3;1;0;1;93,994;-36,4;0
28;1;1;1;0;0;0;2;1;2;1;0;92,893;-46,2;0
34;0;1;6;0;0;0;5;2;1;0;1;93,444;-36,1;0
38;9;1;6;1;1;0;0;2;1;1;0;92,843;-50;0
33;7;1;3;1;0;1;3;1;3;0;1;94,465;-41,8;0
51;9;2;6;0;0;0;3;5;2;0;1;92,963;-40,8;0
30;1;2;0;1;0;1;3;2;1;0;1;94,465;-41,8;0
48;9;1;6;0;0;0;5;4;7;0;1;93,444;-36,1;0
28;1;2;2;1;0;1;3;3;1;0;1;94,465;-41,8;0
36;1;1;1;1;0;1;2;3;1;0;1;93,994;-36,4;0
46;4;0;3;0;0;0;8;3;1;0;1;93,2;-42;0
35;7;1;3;1;0;0;2;2;1;0;1;92,893;-46,2;0
76;5;1;6;0;0;0;5;4;1;1;0;94,027;-38,3;0
45;2;0;5;1;0;0;4;2;3;0;1;93,918;-42,7;0
32;3;1;0;1;1;0;2;5;1;0;1;92,893;-46,2;0
39;4;2;6;0;0;0;2;4;2;0;1;92,893;-46,2;0
32;0;1;6;0;0;1;8;4;1;0;1;93,2;-42;0
29;0;2;2;0;0;0;2;1;2;0;1;92,893;-46,2;0
44;7;1;5;0;0;0;5;1;2;0;1;93,444;-36,1;0
32;7;1;3;0;1;0;4;5;3;0;1;93,918;-42,7;0
56;5;1;6;1;0;0;3;3;1;2;0;92,963;-40,8;0
33;1;1;2;1;0;0;2;4;1;0;1;92,893;-46,2;0
39;4;1;3;0;0;0;5;5;3;0;1;93,444;-36,1;0
24;9;1;6;1;1;0;6;2;2;1;2;92,379;-29,8;1
33;0;2;6;1;0;0;2;4;1;0;1;92,893;-46,2;0
58;2;0;6;0;0;1;3;4;2;0;1;94,465;-41,8;0
29;0;2;6;1;0;1;3;5;27;0;1;94,465;-41,8;0
31;0;1;6;1;0;0;5;4;1;0;1;93,444;-36,1;0
27;0;1;6;0;0;1;2;3;5;0;1;93,994;-36,4;0
60;0;0;5;1;0;0;6;3;1;1;0;94,199;-37,5;1
